Feature,Importance,Std_Dev
hgb_centered,0.10000000000000002,0.0037164664606551072
age,0.08508474576271188,0.008288118262780381
BMI,0.07477966101694916,0.007427055983768963
married,0.06962711864406781,0.005424152525822269
adv_HIV,0.06033898305084747,0.0051095440491977975
survtime,0.059254237288135614,0.005888556135758234
log_creat_centered,0.05037288135593222,0.005381616168804359
event,0.026033898305084756,0.0023912124865828298
urban.clinic,0.013627118644067815,0.00283532524289173
male.gender,0.01077966101694915,0.0028835485177134586
arv_naive,0.008745762711864424,0.0017795803048687151
